Log file created at: 2024-07-29 13:40:43 929 139602401347712
2024-07-29 13:58:14 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:58:48 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:58:59 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:59:17 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 13:59:19 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:00:18 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:00:24 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:00:28 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:01:24 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:01:24 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:01:42 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:01:45 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:01:46 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:01:50 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:01:53 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:01:54 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:26 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:28 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:28 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:28 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:28 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:28 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:29 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:29 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:29 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:29 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:29 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:37 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 14:55:40 929 139602401347712 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
